BCTC,LNSTTNDN,CPDLH,Report EPS,Date
Q1/2020,2776806559327,1741377694,6049.0941,20200429
Q4/2019,2176435560712,1741377694,6060.9091,20200228
Q3/2019,2676736652330,1741391685,6122.7888,20191030
Q2/2019,2903778768959,1741391685,6056.0216,20190729
Q1/2019,2797380898890,1741407855,5926.2196,20190425
Q4/2018,2284277111528,1741411583,5860.5500,20190130
Q3/2018,2560468865179,1741426616,5541.8161,20181030
Q2/2018,2677838532770,1451246749,6744.0391,20180730
Q1/2018,2683045201762,1451263614,6908.6100,20180427
Q4/2017,1729313486693,1451278520,7082.1516,20180130
Q3/2017,2697067642821,1451304721,7150.2202,20171030
Q2/2017,2916787989694,1451343212,7048.2954,20170728
Q1/2017,2935005433958,1451415315,6984.2526,20170510
Q4/2016,1828287247025,1451426329,6451.4675,20170125
Q3/2016,2549414978533,1451450889,6501.1629,20161028
Q2/2016,2824343535354,1200139398,7506.8532,20160729
Q1/2016,2161784016578,1200139398,6975.1470,20160429
Q4/2015,1900576208279,1200139398,6473.8753,20160202
Q3/2015,2122566492437,1200139398,6331.7183,20151031
Q2/2015,2186222022636,1000118604,6842.9840,20150731
Q1/2015,1560188028345,1000118604,6233.4041,20150513
Q4/2014,1729968069631,1000128234,6067.4249,20150130
Q3/2014,1367417474259,1000131479,5807.4950,20141030
Q2/2014,1576569854559,833437321,7356.6541,20140731
Q1/2014,1394247567859,833457408,7675.8771,20140505
Q4/2013,1470023665933,833505248,7839.3115,20140128
Q3/2013,1690469004691,833525676,8052.5791,20130503
Q2/2013,1842776407795,833525676,7698.5631,20130725
Q1/2013,1530838237208,833525676,7294.1109,20130503
Q4/2012,1647947800427,833639586,6980.7802,20130122
Q3/2012,1395387531531,555784668,9380.5012,20121029
Q2/2012,1505655189705,555710964,8782.7026,20120801
Q1/2012,1270464195420,555836802,8063.8629,20120425
Q4/2011,1042031838952,546582775,7717.3704,20120215
Q3/2011,1062492897902,362278781,10784.6635,20111024
Q2/2011,1107202855866,357988990,11121.2274,20110730
Q1/2011,1006454116217,354599784,10730.8322,20110422
Q4/2010,730904873958,352777598,10248.6466,20110215
Q3/2010,1136715128309,352698876,9880.1724,20101030
Q2/2010,931076666015,352532747,8731.9818,20100730
Q1/2010,816796270680,352012543,7703.4837,20100422
Q4/2009,600137636207,350950861,6782.5768,20100301
